Time,Kinetic_Energy,Max_Velocity,Weighted_Energy,Quartic_Dissipation,VSS_Energy,Step
0.0,3368340070.344568,40.05692411172114,4381862566.578619,2024692533.429036,1013522496.2340505,0
9.999999999999999e-05,3368337671.6899137,40.05691579735677,4380678311.365155,2024681276.1812966,1012340639.6752408,1000
0.00019999999999999998,3368337476.402378,40.05699169427677,4380673277.535715,2024671595.950831,1012335801.1333373,2000
0.0003,3368337283.456398,40.05696777344009,4380665100.723597,2024655625.072111,1012327817.2671988,3000
0.00039999999999999996,3368337092.8515935,40.05684404238576,4380653781.196343,2024633364.0810897,1012316688.3447496,4000
0.0005,3368336904.587694,40.05662051801307,4380639319.328181,2024604813.7268686,1012302414.7404867,5000
0.0006,3368336718.664577,40.05629722656874,4380621715.600052,2024569974.9716852,1012284996.9354757,6000
0.0007,3368336535.082217,40.05587420363342,4380600970.599511,2024528848.9908013,1012264435.5172939,7000
0.0007999999999999999,3368336353.840673,40.05535149410574,4380577085.020653,2024481437.1724024,1012240731.1799811,8000
0.0009,3368336174.9401493,40.055139407857304,4380550059.66419,2024427741.1176014,1012213884.7240407,9000
0.001,3368335998.380972,40.05493084440738,4380519895.437342,2024367762.640299,1012183897.0563699,10000
0.0010999999999999998,3368335824.1635957,40.05462259567809,4380486593.353813,2024301503.7670994,1012150769.1902173,11000
0.0012,3368335652.288563,40.05421471556,4380450154.533649,2024228966.7371159,1012114502.2450866,12000
0.0013,3368335482.756536,40.05370726719873,4380410580.203228,2024150154.001884,1012075097.4466921,13000
0.0014,3368335315.5682945,40.05310032297724,4380367871.695178,2024065068.225208,1012032556.126884,14000
0.0015,3368335150.724745,40.05239396450122,4380322030.448313,2023973712.283007,1011986879.7235682,15000
0.0015999999999999999,3368334988.226892,40.05158828257793,4380273058.007498,2023876089.2631114,1011938069.7806067,16000
0.0017,3368334828.075875,40.050683377198695,4380220956.023615,2023772202.4651062,1011886127.9477396,17000
0.0018,3368334670.272929,40.04967935751731,4380165726.253393,2023662055.4000926,1011831055.9804643,18000
0.0019,3368334514.819409,40.04857634182776,4380107370.559352,2023545651.7904992,1011772855.7399427,19000
0.002,3368334361.7168145,40.04737445754207,4380045890.9097185,2023422995.5698907,1011711529.1929034,20000
0.0021,3368334210.966737,40.04607384116658,4379981289.378224,2023294090.8826532,1011647078.4114883,21000
0.0021999999999999997,3368334062.5708737,40.044674638275616,4379913568.144009,2023158942.08377,1011579505.5731353,22000
0.0023,3368333916.531034,40.043177003485965,4379842729.491485,2023017553.7385554,1011508812.9604496,23000
0.0024,3368333772.8491697,40.041581100429745,4379768775.810254,2022869930.6224198,1011435002.9610837,24000
0.0025,3368333631.5273275,40.03988710172556,4379691709.59489,2022716077.720519,1011358078.067563,25000
0.0026,3368333492.5676913,40.03809518895064,4379611533.444853,2022556000.2275047,1011278040.8771615,26000
0.0026999999999999997,3368333355.97252,40.03620555260726,4379528250.064221,2022389703.547127,1011194894.0917013,27000
0.0028,3368333221.7442207,40.03421839209346,4379441862.261662,2022217193.2920055,1011108640.5174406,28000
0.0029,3368333089.885296,40.032133915670734,4379352372.950161,2022038475.2832148,1011019283.0648645,29000
0.003,3368332960.3983827,40.030564365255216,4379259785.146921,2021853555.5499876,1010926824.7485373,30000
0.0031,3368332833.286227,40.02923852928412,4379164101.973127,2021662440.3293114,1010831268.6869011,31000
0.0031999999999999997,3368332708.5516667,40.02781454415983,4379065326.653745,2021465136.065535,1010732618.1020781,32000
0.0033,3368332586.1976967,40.02629259497279,4378963462.51741,2021261649.410053,1010630876.3197148,33000
0.0034,3368332466.227386,40.02467287587331,4378858512.996119,2021051987.2208126,1010526046.7687317,34000
0.0034999999999999996,3368332348.6439185,40.022955590026726,4378750481.625059,2020836156.561938,1010418132.9811409,35000
0.0036,3368332233.450627,40.02114094956626,4378639372.042478,2020614164.7033508,1010307138.5918509,36000
0.0036999999999999997,3368332120.650926,40.019229175546926,4378525187.989337,2020386019.1202512,1010193067.338411,37000
0.0038,3368332010.24835,40.01722049789512,4378407933.309155,2020151727.4927108,1010075923.0608057,38000
0.0039,3368331902.2465687,40.01511515535836,4378287611.9478035,2019911297.705231,1009955709.701235,39000
0.004,3368331796.6493273,40.01291339545214,4378164227.953168,2019664737.846199,1009832431.3038409,40000
0.0040999999999999995,3368331693.460514,40.01061547440932,4378037785.4750185,2019412056.2074783,1009706092.0145049,41000
0.0042,3368331592.6841226,40.00822165712309,4377908288.764699,2019153261.2838693,1009576696.0805764,42000
0.0043,3368331494.3242593,40.00573221709163,4377775742.174882,2018888361.772607,1009444247.8506225,43000
0.004399999999999999,3368331398.3851404,40.003147436361466,4377640150.159308,2018617366.5728421,1009308751.7741674,44000
0.0045,3368331304.871093,40.000467605470455,4377501517.272516,2018340284.7850986,1009170212.4014242,45000
0.0046,3368331213.7865653,39.99769302338665,4377359848.169598,2018057125.710756,1009028634.3830315,46000
0.0047,3368331125.136106,39.99482399745006,4377215147.605867,2017767898.851459,1008884022.469762,47000
0.0048,3368331038.9243774,39.99186084331168,4377067420.4366255,2017472613.9085727,1008736381.512248,48000
0.0049,3368330955.156184,39.988803884870414,4376916671.616893,2017171280.7826338,1008585716.4607086,49000
0.005,3368330873.836384,39.98565345421076,4376762906.20099,2016863909.5726635,1008432032.3646051,50000
0.0050999999999999995,3368330794.9699993,39.982409891539376,4376606129.342402,2016550510.575691,1008275334.3724023,51000
0.0052,3368330718.562136,39.9790735451204,4376446346.293355,2016231094.286051,1008115627.7312181,52000
0.0053,3368330644.618032,39.97564477121062,4376283562.404575,2015905671.394821,1007952917.7865424,53000
0.005399999999999999,3368330573.1430063,39.972123933993934,4376117783.124894,2015574252.789123,1007787209.9818873,54000
0.0055,3368330504.142525,39.968513049160265,4375949014.001033,2015236849.5515623,1007618509.858507,55000
0.0056,3368330437.62213,39.96572685561739,4375777260.677158,2014893472.9594905,1007446823.0550282,56000
0.005699999999999999,3368330373.587508,39.962847165147394,4375602528.894665,2014544134.4844136,1007272155.3071556,57000
0.0058,3368330312.044422,39.95987431793367,4375424824.491719,2014188845.791244,1007094512.4472969,58000
0.0059,3368330252.9987683,39.95680866234904,4375244153.403023,2013827618.7376802,1006913900.4042538,59000
0.006,3368330196.4565296,39.953650554889286,4375060521.659374,2013460465.373455,1006730325.2028447,60000
0.0060999999999999995,3368330142.423831,39.95040036010536,4374873935.387415,2013087397.939694,1006543792.9635842,61000
0.0062,3368330090.906921,39.947058450534286,4374684400.809237,2012708428.868178,1006354309.9023156,62000
0.0063,3368330041.9120684,39.94362520662718,4374491924.241853,2012323570.7804925,1006161882.3297838,63000
0.0063999999999999994,3368329995.4457603,39.940101016680316,4374296512.097147,2011932836.4875276,1005966516.6513872,64000
0.0065,3368329951.5145154,39.9364862767583,4374098170.881208,2011536238.9885135,1005768219.3666935,65000
0.0066,3368329910.124992,39.93278139062155,4373896907.194113,2011133791.4703808,1005566997.0691217,66000
0.006699999999999999,3368329871.2839622,39.92898676964879,4373692727.729512,2010725507.306982,1005362856.4455508,67000
0.0068,3368329834.9982777,39.92510283276002,4373485639.274182,2010311400.0582564,1005155804.2759042,68000
0.0069,3368329801.274941,39.92113000633926,4373275648.707745,2009891483.4695406,1004945847.4328041,69000
0.006999999999999999,3368329770.1210403,39.91706872415504,4373062763.002174,2009465771.4706964,1004732992.881136,70000
0.0070999999999999995,3368329741.5437555,39.9129194272784,4372846989.221403,2009034278.175313,1004517247.6776471,71000
0.0072,3368329715.5503883,39.90868256400325,4372628334.52095,2008597017.8799257,1004298618.9705609,72000
0.0073,3368329692.148359,39.9043585897628,4372406806.147518,2008154005.0631924,1004077113.9991603,73000
0.0073999999999999995,3368329671.3451767,39.89994796704652,4372182411.438537,2007705254.3850346,1003852740.0933604,74000
0.0075,3368329653.1484704,39.89545116531749,4371955157.821773,2007250780.6858215,1003625504.673302,75000
0.0076,3368329637.5659733,39.89086866092575,4371725052.814893,2006790598.9855113,1003395415.2489188,76000
0.007699999999999999,3368329624.605503,39.88620093702254,4371492104.025002,2006324724.4827683,1003162479.4194982,77000
0.0078,3368329614.275017,39.881448483477456,4371256319.148298,2005853172.5541623,1002926704.8732805,78000
0.007899999999999999,3368329606.5825534,39.87661179678669,4371017705.969541,2005375958.7532222,1002688099.386987,79000
0.008,3368329601.536261,39.87169137998959,4370776272.361655,2004893098.8095913,1002446670.8253947,80000
0.0081,3368329599.1444135,39.866687742578804,4370532026.2853155,2004404608.628152,1002202427.1409012,81000
0.008199999999999999,3368329599.415353,39.86205885796559,4370284975.788393,2003910504.2880588,1001955376.3730404,82000
0.0083,3368329602.3575635,39.85774699997278,4370035129.005636,2003410802.0419197,1001705526.6480732,83000
0.0084,3368329607.9796166,39.85334991505417,4369782494.158114,2002905518.3148165,1001452886.1784971,84000
0.008499999999999999,3368329616.290186,39.84886809170446,4369527079.552776,2002394669.7033901,1001197463.2625903,85000
0.0086,3368329627.2980423,39.84430202508295,4369268893.581991,2001878272.97492,1000939266.2839496,86000
0.0087,3368329641.012066,39.83965221693191,4369007944.723089,2001356345.0663877,1000678303.7110236,87000
0.008799999999999999,3368329657.44125,39.83491917549306,4368744241.537894,2000828903.083538,1000414584.0966427,88000
0.0089,3368329676.594686,39.830103415422734,4368477792.67222,2000295964.299909,1000148116.0775341,89000
0.009,3368329698.481563,39.82520545770597,4368208606.855406,1999757546.1558719,999878908.3738416,90000
0.0091,3368329723.111164,39.820225829571974,4367936692.899801,1999213666.2576537,999606969.7886381,91000
0.0092,3368329750.4929094,39.815165064406244,4367662059.700373,1998664342.3764186,999332309.2074635,92000
