time_s,h_plus,h_cross,amplitude,frequency_Hz
0.0000000000e+00,-3.4206314075e-22,-4.5107256812e-33,3.4206314075e-22,30.000000
2.0000400008e-05,-3.4207479992e-22,-1.2896235207e-24,3.4207723086e-22,30.001854
4.0000800016e-05,-3.4208159916e-22,-2.5794146519e-24,3.4209132386e-22,30.003708
6.0001200024e-05,-3.4208353706e-22,-3.8693551179e-24,3.4210541977e-22,30.005562
8.0001600032e-05,-3.4208061230e-22,-5.1594266289e-24,3.4211951858e-22,30.007417
1.0000200004e-04,-3.4207282362e-22,-6.4496108862e-24,3.4213362030e-22,30.009272
1.2000240005e-04,-3.4206016983e-22,-7.7398895823e-24,3.4214772493e-22,30.011128
1.4000280006e-04,-3.4204264979e-22,-9.0302444014e-24,3.4216183246e-22,30.012984
1.6000320006e-04,-3.4202026247e-22,-1.0320657019e-23,3.4217594290e-22,30.014841
1.8000360007e-04,-3.4199300686e-22,-1.1611109103e-23,3.4219005625e-22,30.016698
2.0000400008e-04,-3.4196088206e-22,-1.2901582314e-23,3.4220417252e-22,30.018555
2.2000440009e-04,-3.4192388722e-22,-1.4192058304e-23,3.4221829169e-22,30.020413
2.4000480010e-04,-3.4188202154e-22,-1.5482518718e-23,3.4223241378e-22,30.022271
2.6000520010e-04,-3.4183528434e-22,-1.6772945195e-23,3.4224653878e-22,30.024130
2.8000560011e-04,-3.4178367495e-22,-1.8063319366e-23,3.4226066670e-22,30.025989
3.0000600012e-04,-3.4172719282e-22,-1.9353622856e-23,3.4227479754e-22,30.027849
3.2000640013e-04,-3.4166583743e-22,-2.0643837286e-23,3.4228893129e-22,30.029709
3.4000680014e-04,-3.4159960835e-22,-2.1933944266e-23,3.4230306796e-22,30.031569
3.6000720014e-04,-3.4152850521e-22,-2.3223925406e-23,3.4231720755e-22,30.033430
3.8000760015e-04,-3.4145252773e-22,-2.4513762307e-23,3.4233135006e-22,30.035291
4.0000800016e-04,-3.4137167566e-22,-2.5803436565e-23,3.4234549549e-22,30.037153
4.2000840017e-04,-3.4128594887e-22,-2.7092929773e-23,3.4235964385e-22,30.039015
4.4000880018e-04,-3.4119534724e-22,-2.8382223517e-23,3.4237379513e-22,30.040877
4.6000920018e-04,-3.4109987078e-22,-2.9671299382e-23,3.4238794934e-22,30.042740
4.8000960019e-04,-3.4099951952e-22,-3.0960138944e-23,3.4240210647e-22,30.044604
5.0001000020e-04,-3.4089429358e-22,-3.2248723779e-23,3.4241626653e-22,30.046467
5.2001040021e-04,-3.4078419316e-22,-3.3537035459e-23,3.4243042951e-22,30.048332
5.4001080022e-04,-3.4066921852e-22,-3.4825055551e-23,3.4244459543e-22,30.050196
5.6001120022e-04,-3.4054936998e-22,-3.6112765619e-23,3.4245876428e-22,30.052061
5.8001160023e-04,-3.4042464793e-22,-3.7400147227e-23,3.4247293606e-22,30.053927
6.0001200024e-04,-3.4029505286e-22,-3.8687181933e-23,3.4248711077e-22,30.055793
6.2001240025e-04,-3.4016058528e-22,-3.9973851294e-23,3.4250128842e-22,30.057659
6.4001280026e-04,-3.4002124582e-22,-4.1260136866e-23,3.4251546900e-22,30.059526
