Time,x1_CUGE,y1_CUGE,x2_CUGE,y2_CUGE,x3_CUGE,y3_CUGE
0.000,+0.970004,-0.243088,-0.970004,+0.243088,+0.000000,+0.000000
10000000.000,+39011919.732147,-3245078.744111,-31479528.382667,+16889814.252161,-7517172.400471,-13670379.597321
20000000.000,+78023843.519925,-6490156.920004,-62959060.961088,+33779633.204609,-15034344.648722,-27340764.491378
30000000.000,+117035767.407174,-9735235.090815,-94438593.669925,+50669452.249542,-22551516.895893,-41011149.467709
40000000.000,+156047691.375966,-12980313.267075,-125918126.388583,+67559271.305337,-30068689.143065,-54681534.500601
50000000.000,+195059615.344758,-16225391.443335,-157397659.107242,+84449090.361133,-37585861.390236,-68351919.533493
60000000.000,+234071539.313550,-19470469.619595,-188877191.825900,+101338909.416929,-45103033.637408,-82022304.566385
70000000.000,+273083463.246835,-22715547.795855,-220356724.544559,+118228728.472724,-52620205.884579,-95692689.599278
80000000.000,+312095386.917604,-25960625.972115,-251836257.263217,+135118547.536467,-60137378.131750,-109363074.632170
90000000.000,+351107310.588372,-29205704.148375,-283315789.981876,+152008366.741275,-67654550.378922,-123033459.665062
100000000.000,+390119234.259141,-32450782.324635,-314795322.700534,+168898185.946082,-75171722.626093,-136703844.725054
110000000.000,+429131157.929910,-35695860.500895,-346274855.419193,+185788005.150889,-82688894.873265,-150374229.906958
120000000.000,+468143081.600679,-38940938.677155,-377754388.137851,+202677824.355697,-90206067.120436,-164044615.088861
130000000.000,+507155005.271447,-42186016.853415,-409233920.856509,+219567643.560504,-97723239.367607,-177715000.270765
140000000.000,+546166929.084246,-45431095.029675,-440713453.575168,+236457462.765311,-105240411.614779,-191385385.452669
150000000.000,+585178853.351061,-48676173.205935,-472192986.293826,+253347281.970118,-112757583.861950,-205055770.634573
160000000.000,+624190777.617876,-51921251.382195,-503672519.012485,+270237101.143135,-120274756.109122,-218726155.816477
170000000.000,+663202701.884691,-55166329.558455,-535152051.731143,+287126920.049919,-127791928.356293,-232396540.998381
180000000.000,+702214626.151507,-58411407.734715,-566631584.449802,+304016738.956704,-135309100.625099,-246066926.180284
190000000.000,+741226550.418322,-61656485.910975,-598111117.168460,+320906557.863488,-142826273.021282,-259737311.362188
200000000.000,+780238474.685137,-64901564.087235,-629590649.887119,+337796376.770272,-150343445.417465,-273407696.435694
210000000.000,+819250398.951952,-68146642.263495,-661070182.605777,+354686195.677056,-157860617.813648,-287078081.319575
220000000.000,+858262323.218767,-71391720.439755,-692549715.324435,+371576014.583840,-165377790.209831,-300748466.203455
230000000.000,+897274247.485582,-74636798.616015,-724029248.043094,+388465833.490624,-172894962.606014,-314418851.087336
240000000.000,+936286171.752398,-77881876.792275,-755508780.761752,+405355652.397408,-180412135.002197,-328089235.971216
250000000.000,+975298096.019213,-81126954.968535,-786988313.480411,+422245471.304192,-187929307.398380,-341759620.855097
260000000.000,+1014310020.286028,-84372033.144795,-818467846.199069,+439135290.210976,-195446479.794563,-355430005.738978
270000000.000,+1053321944.552843,-87617111.321055,-849947378.917728,+456025109.117760,-202963652.190746,-369100390.622858
280000000.000,+1092333868.819658,-90862189.497315,-881426911.636386,+472914928.024544,-210480824.586929,-382770775.506739
290000000.000,+1131345793.086473,-94107267.673575,-912906444.355045,+489804746.931328,-217997996.983112,-396441160.390620
300000000.000,+1170357717.353289,-97352345.849835,-944385977.073703,+506694565.838112,-225515169.379295,-410111545.274500
310000000.000,+1209369641.620104,-100597424.026095,-975865509.792361,+523584384.744896,-233032341.775478,-423781930.158381
320000000.000,+1248381565.886919,-103842502.202355,-1007345042.511020,+540474203.651680,-240549514.171661,-437452315.042261
330000000.000,+1287393490.153734,-107087580.378615,-1038824575.229678,+557364022.558464,-248066686.567844,-451122699.926142
340000000.000,+1326405414.420549,-110332658.554875,-1070304107.948337,+574253841.465248,-255583858.964027,-464793084.810023
350000000.000,+1365417338.687365,-113577736.731135,-1101783640.666995,+591143660.372033,-263101031.360210,-478463469.693903
360000000.000,+1404429262.954180,-116822814.907395,-1133263173.385654,+608033479.278817,-270618203.669856,-492133854.577784
370000000.000,+1443441187.220995,-120067893.083655,-1164742706.104312,+624923298.185601,-278135375.768016,-505804239.461664
380000000.000,+1482453111.487810,-123312971.259915,-1196222238.822971,+641813117.092385,-285652547.866176,-519474624.345545
390000000.000,+1521465035.754625,-126558049.436175,-1227701771.541629,+658702935.999169,-293169719.964336,-533145009.229426
