Time,x1_CUGE,y1_CUGE,x2_CUGE,y2_CUGE,x3_CUGE,y3_CUGE,x1_Newton,y1_Newton,x2_Newton,y2_Newton,x3_Newton,y3_Newton,dx1_1000,dy1_1000,dx2_1000,dy2_1000,dx3_1000,dy3_1000
0.000,+0.970004,-0.243088,-0.970004,+0.243088,+0.000000,+0.000000,+0.970004,-0.243088,-0.970004,+0.243088,+0.000000,+0.000000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000
100000.000,+299445.119719,+26678.329115,-202001.432281,+307397.249353,-96822.133795,-334408.539055,-2994.031786,-27551.897188,+313658.479115,-332492.895031,-310664.447329,+360044.792218,-1.902,+0.781,+0.807,-0.574,+1.124,-0.201
200000.000,+598893.117916,+53357.463728,-404004.415148,+614797.700024,-193645.588511,-668821.086138,-5984.844128,-55104.982564,+627313.124882,-664982.681255,-621328.280754,+720087.663818,-3.804,+1.562,+1.614,-1.149,+2.248,-0.403
300000.000,+898341.190351,+80036.610705,-606007.440944,+922198.204654,-290469.074445,-1003233.699539,-8975.622280,-82658.079191,+940967.641267,-997472.339641,-931992.018987,+1080130.418832,-5.707,+2.343,+2.421,-1.723,+3.373,-0.604
400000.000,+1197789.293181,+106715.762745,-808010.484315,+1229598.731375,-387292.573160,-1337646.340092,-11966.386434,-110211.180424,+1254622.104680,-1329961.945688,-1242655.718246,+1440173.126112,-7.609,+3.124,+3.227,-2.297,+4.497,-0.805
500000.000,+1497237.412665,+133394.917558,-1010013.537317,+1536999.270201,-484116.078878,-1672058.995523,-14957.142918,-137764.284182,+1568276.539068,-1662451.523056,-1553319.396150,+1800215.807238,-9.511,+3.905,+4.034,-2.872,+5.621,-1.006
600000.000,+1796685.542684,+160074.074126,-1212016.596411,+1844399.816683,-580939.589026,-2006471.660363,-17947.894551,-165317.389537,+1881930.955096,-1994941.082283,-1863983.060545,+2160258.471821,-11.413,+4.686,+4.841,-3.446,+6.745,-1.208
700000.000,+2096133.679973,+186753.231905,-1414019.659708,+2151800.368450,-677763.102231,-2340884.331698,-20938.642835,-192870.495994,+2195585.358455,-2327430.628992,-2174646.715619,+2520301.124987,-13.315,+5.467,+5.648,-4.021,+7.870,-1.409
800000.000,+2395581.822582,+213432.390570,-1616022.726082,+2459200.924083,-774586.617674,-2675297.007786,-23929.388669,-220423.603258,+2509239.752540,-2659920.166538,-2485310.363871,+2880343.769796,-15.218,+6.248,+6.455,-4.595,+8.994,-1.610
900000.000,+2695029.969256,+240111.549912,-1818025.794807,+2766601.482671,-871410.134825,-3009709.687505,-26920.132631,-247976.711137,+2822894.139542,-2992409.697086,-2795974.006911,+3240386.408224,-17.120,+7.029,+7.262,-5.169,+10.118,-1.812
1000000.000,+2994478.119135,+266790.709788,-2020028.865384,+3074002.043589,-968233.653325,-3344122.370087,-29910.875117,-275529.819503,+3136548.520958,-3324899.222114,-3106637.645840,+3600429.041617,-19.022,+7.810,+8.069,-5.744,+11.242,-2.013
1100000.000,+3293926.271608,+293469.870096,-2222031.937462,+3381402.606391,-1065057.172915,-3678535.054985,-32901.616409,-303082.928261,+3450202.897853,-3657388.742676,-3417301.281444,+3960471.670937,-20.924,+8.591,+8.876,-6.318,+12.367,-2.214
1200000.000,+3593374.426222,+320149.030761,-2424035.010778,+3688803.170750,-1161880.693405,-4012947.741797,-35892.356714,-330636.037344,+3763857.271016,-3989878.259549,-3727964.914302,+4320514.296894,-22.826,+9.372,+9.683,-6.892,+13.491,-2.415
1300000.000,+3892822.582634,+346828.191725,-2626038.085134,+3996203.736417,-1258704.214652,-4347360.430216,-38883.096190,-358189.146700,+4077511.641045,-4322367.773326,-4038628.544854,+4680556.920027,-24.729,+10.153,+10.489,-7.467,+14.615,-2.617
